DTC,Possible Solutions
"P0011
","b'\nThis DTC code is a result of a mechanical fault of the VCT unit or related\ncomponents, so there is no need for electrical diagnosis. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.\nOther related DTCs: P0010 - P0011 - P0012 - P0020\n- P0021 - P0022\n \n\n \n'"
"P0012
","b""\nThe main thing to check is to verify the operation of the VCT solenoid. You're looking for a sticking or stuck VCt solenoid valve caused by contamination. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.\nOther related DTCs: P0010 - P0011 - P0020\n- P0021 - P0022\n"""
"P0013
","b""\nIdeally you'll want to refer to a factory service manual for make &amp; model specific steps and specifications. You should use a digital volt ohm meter (DVOM) and measure the resistance of the terminals on the camshaft oil control valve (OCV). Refer to the factory spec on the reading, if it's not good, replace the OCV assembly. Also use the DVOM to verify wiring, connectors, etc. leading from the OCV back to the PCM.\nOther camshaft DTC codes: P0011 - P0012 - P0020 - P0021 - P0022\n \n\n \n"""
"P0014
","b""\nThis DTC code is a result of a mechanical fault of the VCT unit or related\ncomponents, so there is no need for electrical diagnosis. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.eval(ez_write_tag([[336,280],'obd_codes_com-banner-1','ezslot_0']));\nOther related DTCs: P0010 - P0011 - P0012 - P0020\n- P0021 - P0022\n"""
"P0015
","b""\nThe main thing to check is to verify the operation of the VCT solenoid. You're looking for a sticking or stuck VCt solenoid valve caused by contamination. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.\nOther related DTCs: P0010 - P0011 - P0012 - P0014 - P0020\n- P0021 - P0022\n \n\n \n"""
"P0016
","b""\n\nFirst, visually inspect the cam and crank sensors and their harnesses for damage.\nIf you notice broken/frayed wires, repair and recheck.\nIf you have access to a scope, check the cam and crank patterns. If a pattern is\nmissing, suspect a bad sensor or a slipping tone ring. Remove the cam gear and the\ncrankshaft harmonic balancer and inspect the tone rings for proper alignment and\nmake sure they're not loose or damaged or that they haven't sheared the key that\naligns them. If they are properly installed, replace the sensor.\n If the signal appears normal, then check the timing chain/belt for proper\nalignment. If it's misaligned, check for a damaged tensioner that may have allowed\nthe chain/belt to slip a tooth or several teeth. Also check that the belt/chain\nisn't stretched. Repair and recheck. \n\nOther crank sensor codes include P0017, eval(ez_write_tag([[336,280],'obd_codes_com-banner-1','ezslot_0']));P0018, P0019, P0335, P0336, P0337, P0338, P0339, P0385, P0386, P0387, P0388, and P0389.\n"""
"P0017
","b""\nIf your vehicle is new enough that is still has powertrain warranty, please let the dealer perform the repairs.\n\nFirst, visually inspect the cam and crank sensors and their harnesses for damage.\nIf you notice broken/frayed wires, repair and recheck.\nIf you have access to a scope, check the cam and crank patterns. If a pattern is\nmissing, suspect a bad sensor or a slipping tone ring. Remove the cam gear and the\ncrankshaft harmonic balancer and inspect the tone rings for proper alignment and\nmake sure they're not loose or damaged or that they haven't sheared the key that\naligns them. If they are properly installed, replace the sensor.\n If the signal appears normal, then check the timing chain/belt for proper\nalignment. If it's misaligned, check for a damaged tensioner that may have allowed\nthe chain/belt to slip a tooth or several teeth. Also check that the belt/chain\nisn't stretched. Repair and recheck.\n\nIf this DTC shows up on a Chevy Colorado or GMC Canyon pickup, and you have a P0014 DTC at the same time, go here for a possible solution: Densolor Cam/Crank Position DTCs\nPlease consult a factory service repair manual if you need vehicle specific information.\n"""
"P0018
","b""\nIf your vehicle is new enough that is still has powertrain warranty, please let the dealer perform the repairs.\n\nFirst, visually inspect the cam and crank sensors and their harnesses for damage.\nIf you notice broken/frayed wires, repair and recheck.\nIf you have access to a scope, check the cam and crank patterns. If a pattern is\nmissing, suspect a bad sensor or a slipping tone ring. Remove the cam gear and the\ncrankshaft harmonic balancer and inspect the tone rings for proper alignment and\nmake sure they're not loose or damaged or that they haven't sheared the key that\naligns them. If they are properly installed, replace the sensor.\n If the signal appears normal, then check the timing chain/belt for proper\nalignment. If it's misaligned, check for a damaged tensioner that may have allowed\nthe chain/belt to slip a tooth or several teeth. Also check that the belt/chain\nisn't stretched. Repair and recheck.\n\nPlease consult a factory service repair manual if you need vehicle specific information.\n"""
"P0019
","b""\nIf your vehicle is new enough that is still has powertrain warranty, please let the dealer perform the repairs.\n\nFirst, visually inspect the cam and crank sensors and their harnesses for damage.\nIf you notice broken/frayed wires, repair and recheck.\nIf you have access to a scope, check the cam and crank patterns. If a pattern is\nmissing, suspect a bad sensor or a slipping tone ring. Remove the cam gear and the\ncrankshaft harmonic balancer and inspect the tone rings for proper alignment and\nmake sure they're not loose or damaged or that they haven't sheared the key that\naligns them. If they are properly installed, replace the sensor.\n If the signal appears normal, then check the timing chain/belt for proper\nalignment. If it's misaligned, check for a damaged tensioner that may have allowed\nthe chain/belt to slip a tooth or several teeth. Also check that the belt/chain\nisn't stretched. Repair and recheck.\n\nPlease consult a factory service repair manual if you need vehicle specific information.\n"""
"P0020
","b""\nSome recommended troubleshooting and repair steps are:eval(ez_write_tag([[336,280],'obd_codes_com-banner-1','ezslot_0']));\n\nCarefully inspect the Bank\n2 VVT/VCT system circuit wiring and connectors, repair as required\nWith a warm engine, test the operation of the OCV, replace/repair as needed\neval(ez_write_tag([[300,250],'obd_codes_com-leader-1','ezslot_1']));\nOther camshaft DTC codes: P0010 - P0011 - P0012 - P0021 - P0022\n"""
"P0021
","b""\nThis DTC code is a result of a mechanical fault of the VCT unit or related\ncomponents, so there is no need for electrical diagnosis. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.eval(ez_write_tag([[336,280],'obd_codes_com-banner-1','ezslot_0']));\nOther related DTCs: P0010 - P0011 - P0012 - P0020\n- P0022\n"""
"P0022
","b""\nThe main thing to check is to verify the operation of the VCT solenoid. You're looking for a sticking or stuck VCt solenoid valve caused by contamination. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.\nOther related DTCs: P0010 - P0011 - P0012 - P0020\n- P0021\n"""
"P0023
","b""\nIdeally you'll want to refer to a factory service manual for make &amp; model specific steps and specifications. You should use a digital volt ohm meter (DVOM) and measure the resistance of the terminals on the camshaft oil control valve (OCV). Refer to the factory spec on the reading, if it's not good, replace the OCV assembly. Also use the DVOM to verify wiring, connectors, etc. leading from the OCV back to the PCM.eval(ez_write_tag([[336,280],'obd_codes_com-banner-1','ezslot_0']));\nOther camshaft DTC codes: P0011 - P0012 - P0020 - P0021 - P0022\n"""
"P0024
","b""\nThis DTC code is a result of a mechanical fault of the VCT unit or related\ncomponents, so there is no need for electrical diagnosis. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.eval(ez_write_tag([[336,280],'obd_codes_com-banner-1','ezslot_0']));\nOther related DTCs: P0010 - P0011 - P0012 - P0020\n- P0022\n"""
"P0025
","b""\nThe main thing to check is to verify the operation of the VCT solenoid. You're looking for a sticking or stuck VCT solenoid valve caused by contamination. Refer to vehicle specific\nrepair manual to perform component tests for the VCT unit. Notes: Dealer techs\nhave advanced tools and the ability to follow detailed troubleshooting steps,\nincluding the ability to test components using a scan tool.\nOther related DTCs: P0010 - P0011 - P0012 - P0020\n- P0021\n"""
"P0026
","b'\nEngine oil - Check the engine oil level to make sure engine oil capacity is sufficient. Since the actuators work on oil pressure, the proper amount of oil is critical to ensure proper operation of the VVT system. Dirty or contaminated fluid may cause buildup which can lead to failure of the control solenoid or the camshaft actuator.eval(ez_write_tag([[468,60],\'obd_codes_com-banner-1\',\'ezslot_5\']));\nControl solenoid - The control solenoid for the camshaft can be checked for continuity using a Digital volt/ohm meter (DVOM) using the ohms function, by unplugging the solenoid wiring harness connector and checking the resistance of the solenoid with the (+) and (-) leads of the DVOM on each terminal. Ensure the internal resistance is within manufacturers specifications if available. If resistance is within specifications, remove the control solenoid to verify it is not contaminated, or if there is damage to the sealing O rings to cause a loss of oil pressure.\nCamshaft actuator - The camshaft actuator is a mechanical device controlled by internal spring pressure and adjusted by oil supplied by the control solenoid. When no oil pressure is supplied, it will default to a ""safe"" position. Refer to the manufacturers suggested procedure to remove the camshaft actuator from the engine\'s camshaft to ensure no leaks are present that would cause a loss of oil pressure to and from the actuator\'s hydraulic supply/return feed lines or within the actuator itself. Check timing chain/belt and components to ensure they are in proper working order and installed in the correct position on the camshaft gear.eval(ez_write_tag([[336,280],\'obd_codes_com-large-leaderboard-2\',\'ezslot_4\']));\nECM/PCM - The ECM/PCM commands the control solenoid using a Pulse width modulated signal (PWM) to regulate the amount of on/off time, resulting in a control of the pressure used to move the camshaft actuator. A graphing multimeter or oscilloscope tool is required to view the PWM signal to ensure proper operation of the ECM/PCM. To check the PWM signal, the positive (+) lead is tapped into the ground side of the control solenoid ( if supplied by constant voltage, ground controlled ) or the powered side of the control solenoid (if permanently grounded, positive control ) and the negative (-) lead is attached to a good known ground. If the PWM signal is not consistent with changes in engine RPM, there may be a problem with the ECM/PCM.\n'"
"P0027
","b'\nEngine oil - Check the engine oil level to make sure engine oil capacity is sufficient. Since the actuators work on oil pressure, the proper amount of oil is critical to ensure proper operation of the VVT system. Dirty or contaminated fluid may cause buildup which can lead to failure of the control solenoid or the camshaft actuator.eval(ez_write_tag([[336,280],\'obd_codes_com-banner-1\',\'ezslot_0\']));\nControl solenoid - The control solenoid for the camshaft can be checked for continuity using a Digital volt/ohm meter (DVOM) using the ohms function, by unplugging the solenoid wiring harness connector and checking the resistance of the solenoid with the (+) and (-) leads of the DVOM on each terminal. Ensure the internal resistance is within manufacturers specifications if available. If resistance is within specifications, remove the control solenoid to verify it is not contaminated, or if there is damage to the sealing O rings to cause a loss of oil pressure.\nCamshaft actuator - The camshaft actuator is a mechanical device controlled by internal spring pressure and adjusted by oil supplied by the control solenoid. When no oil pressure is supplied, it will default to a ""safe"" position. Refer to the manufacturers suggested procedure to remove the camshaft actuator from the engine\'s camshaft to ensure no leaks are present that would cause a loss of oil pressure to and from the actuator\'s hydraulic supply/return feed lines or within the actuator itself. Check timing chain/belt and components to ensure they are in proper working order and installed in the correct position on the camshaft gear.\nECM/PCM - The ECM/PCM commands the control solenoid using a Pulse width modulated signal (PWM) to regulate the amount of on/off time, resulting in a control of the pressure used to move the camshaft actuator. A graphing multimeter or oscilloscope tool is required to view the PWM signal to ensure proper operation of the ECM/PCM. To check the PWM signal, the positive (+) lead is tapped into the ground side of the control solenoid ( if supplied by constant voltage, ground controlled ) or the powered side of the control solenoid (if permanently grounded, positive control ) and the negative (-) lead is attached to a good known ground. If the PWM signal is not consistent with changes in engine RPM, there may be a problem with the ECM/PCM.\n'"
"P0028
","b'\nEngine oil - Check the engine oil level to make sure engine oil capacity is sufficient. Since the actuators work on oil pressure, the proper amount of oil is critical to ensure proper operation of the VVT system. Dirty or contaminated fluid may cause buildup which can lead to failure of the control solenoid or the camshaft actuator.eval(ez_write_tag([[250,250],\'obd_codes_com-banner-1\',\'ezslot_3\']));\nControl solenoid - The control solenoid for the camshaft can be checked for continuity using a Digital volt/ohm meter (DVOM) using the ohms function, by unplugging the solenoid wiring harness connector and checking the resistance of the solenoid with the (+) and (-) leads of the DVOM on each terminal. Ensure the internal resistance is within manufacturers specifications if available. If resistance is within specifications, remove the control solenoid to verify it is not contaminated, or if there is damage to the sealing O rings to cause a loss of oil pressure.\nCamshaft actuator - The camshaft actuator is a mechanical device controlled by internal spring pressure and adjusted by oil supplied by the control solenoid. When no oil pressure is supplied, it will default to a ""safe"" position. Refer to the manufacturers suggested procedure to remove the camshaft actuator from the engine\'s camshaft to ensure no leaks are present that would cause a loss of oil pressure to and from the actuator\'s hydraulic supply/return feed lines or within the actuator itself. Check timing chain/belt and components to ensure they are in proper working order and installed in the correct position on the camshaft gear.eval(ez_write_tag([[336,280],\'obd_codes_com-large-leaderboard-2\',\'ezslot_6\']));\nECM/PCM - The ECM/PCM commands the control solenoid using a Pulse width modulated signal (PWM) to regulate the amount of on/off time, resulting in a control of the pressure used to move the camshaft actuator. A graphing multimeter or oscilloscope tool is required to view the PWM signal to ensure proper operation of the ECM/PCM. To check the PWM signal, the positive (+) lead is tapped into the ground side of the control solenoid ( if supplied by constant voltage, ground controlled ) or the powered side of the control solenoid (if permanently grounded, positive control ) and the negative (-) lead is attached to a good known ground. If the PWM signal is not consistent with changes in engine RPM, there may be a problem with the ECM/PCM.\n'"
"P0029
","b'\nEngine oil - Check the engine oil level to make sure engine oil capacity is sufficient. Since the actuators work on oil pressure, the proper amount of oil is critical to ensure proper operation of the VVT system. Dirty or contaminated fluid may cause buildup which can lead to failure of the control solenoid or the camshaft actuator.eval(ez_write_tag([[336,280],\'obd_codes_com-banner-1\',\'ezslot_0\']));\nControl solenoid - The control solenoid for the camshaft can be checked for continuity using a Digital volt/ohm meter (DVOM) using the ohms function, by unplugging the solenoid wiring harness connector and checking the resistance of the solenoid with the (+) and (-) leads of the DVOM on each terminal. Ensure the internal resistance is within manufacturers specifications if available. If resistance is within specifications, remove the control solenoid to verify it is not contaminated, or if there is damage to the sealing O rings to cause a loss of oil pressure.\nCamshaft actuator - The camshaft actuator is a mechanical device controlled by internal spring pressure and adjusted by oil supplied by the control solenoid. When no oil pressure is supplied, it will default to a ""safe"" position. Refer to the manufacturers suggested procedure to remove the camshaft actuator from the engine\'s camshaft to ensure no leaks are present that would cause a loss of oil pressure to and from the actuator\'s hydraulic supply/return feed lines or within the actuator itself. Check timing chain/belt and components to ensure they are in proper working order and installed in the correct position on the camshaft gear.\nECM/PCM - The ECM/PCM commands the control solenoid using a Pulse width modulated signal (PWM) to regulate the amount of on/off time, resulting in a control of the pressure used to move the camshaft actuator. A graphing multimeter or oscilloscope tool is required to view the PWM signal to ensure proper operation of the ECM/PCM. To check the PWM signal, the positive (+) lead is tapped into the ground side of the control solenoid ( if supplied by constant voltage, ground controlled ) or the powered side of the control solenoid (if permanently grounded, positive control ) and the negative (-) lead is attached to a good known ground. If the PWM signal is not consistent with changes in engine RPM, there may be a problem with the ECM/PCM.\n'"
"P0030
","b""\nMany times a HO2 sensors heater element may go bad due to age or impact. Keep this in mind when making your inspection. Make a visual inspection of the Bank 1,1 O2 sensor. Repair any damaged wiring from contact with exhaust.\nIf HO2 Sensor itself appears to have been damaged, replace it. If a visual inspection reveals no obvious problems, viewing the faulty heater circuit on a scan tool may reveal if the fault is currently occurring. If the scan tool datastream shows that the Bank 1,1 heater element is pulling 0 amps then suspect an open in the circuit. Check for blown fuses and then disconnect the O2 sensor connector.eval(ez_write_tag([[250,250],'obd_codes_com-large-leaderboard-2','ezslot_0']));\nWith key on engine off use a voltmeter to check for 12 volts fused battery feed to the heater element. If there is no voltage present, repair open or short in the B+ feed circuit remembering to replace any fuse blown from the short. If the B+ battery feed is intact, remove the ground (control) circuit from the ECM wiring connector and check for resistance on the circuit. If there is infinite resistance, repair open in the circuit. If the control circuit checks out, suspect a bad O2 sensor. Replace and re-check.\n"""
"P0031
","b""\n To fix a P0031 DTC code, you'll need to do a proper diagnosis. To do that,\nyou'll want to inspect the wiring and connectors leading to the sensor. Also\nif equipped with a heater relay and fuse, you'll want to check those as well.\nUse a digital volt ohm meter to:\n\ncheck for 12 volts at the heater circuit feed (hint: unplug the sensor and\ncheck at the wiring connector to do this measurement)\ncheck the ground circuit for continuity\nmeasure the resistance of the heater circuit (done on the sensor itself)\nmeasure the resistance and voltage of the wiring\n\nRefer to a service manual for the correct specifications (volts, ohms) for\nyour vehicle. On some Toyota vehicles this code is triggered when the resistance\nof the heater circuit is below 0.8 A.\nWith that said, a common fix for this DTC is to replace the air/fuel (O2 oxygen)\nsensor #1 on bank 1.\nPlease keep in mind that OEM (original equipment) replacement sensors are recommended\n(from the dealer). Aftermarket sensors can be less reliable and of poorer quality\n(not always, but more often). There's also a chance that replacement parts for\nthe P0031 code may also fall under a federal emissions warranty (check with\nyour dealer to see if it's covered).\n \n\n \n"""
"P0032
","b""\n To fix a P0032 DTC code, you'll need to do a proper diagnosis. To do that,\nyou'll want to inspect the wiring and connectors leading to the sensor. Also\nif equipped with a heater relay and fuse, you'll want to check those as well.\nUse a digital volt ohm meter to:\n\ncheck for 12 volts at the heater circuit feed (hint: unplug the sensor and\ncheck at the wiring connector to do this measurement)\ncheck the ground circuit for continuity\nmeasure the resistance of the heater circuit (done on the sensor itself)\nmeasure the resistance and voltage of the wiring\n\nRefer to a service manual for the correct specifications (volts, ohms) for\nyour vehicle. On some Toyota vehicles this code is triggered when the resistance\nof the heater circuit is above 10 A.\nWith that said, a common fix for this DTC is to replace the air/fuel (O2 oxygen)\nsensor #2 on bank 1.\nPlease keep in mind that OEM (original equipment) replacement sensors are recommended\n(from the dealer). Aftermarket sensors can be less reliable and of poorer quality\n(not always, but more often). There's also a chance that replacement parts for\nthe P0032 code may also fall under a federal emissions warranty (check with\nyour dealer to see if it's covered).\n"""
"P0033
","b""\nA good starting point is always to check for technical service bulletins (TSB) for your particular vehicle. Your issue may be a known issue with a known fix put out by the manufacturer and can save you time and money during diagnosis.\nFactory turbocharger boost pressure usually ranges between nine and fourteen pounds but check manufacturer\xe2\x80\x99s specifications for your vehicle. Test boost pressure to make sure that it is sufficient. If boost pressure is low, internal turbocharger repair or turbocharger replacement may be necessary. Also check turbo hoses and exhaust components for leakage.\nThere are two basic designs of turbo boost control valves. In the first design, the valve is actuated using engine vacuum. An electronically controlled vacuum control valve provides vacuum to open the boost control valve, which is closed after vacuum is restricted. Typically, the vacuum control valve (or solenoid) is supplied with battery voltage and the PCM (or boost controller) provides a ground signal when applicable. In this type of system, engine vacuum must be checked prior to testing system electrical circuitry, components, and connectors. You may quick check the boost control valve using a hand-held vacuum pump. Simply apply vacuum directly to the valve and check operation.\nThe other turbo boost pressure control valve design utilizes an electronic valve. The valve receives a voltage signal from the PCM (or boost controller) when applicable. The voltage signal causes the valve to open and close proportionally as required to maintain optimum boost pressure. \n\nProfessional technicians report that the boost control valve is often condemned in error, when the boost pressure sensor is the defective part\n Using a digital volt/ohmmeter, test system circuit voltage and continuity to ensure that it is within manufacturer\xe2\x80\x99s specifications. A system wiring diagram or manufacturer\xe2\x80\x99s service manual (with diagnostic flow charts) will be required\nDisconnect system components and controllers prior to testing circuit continuity to prevent damage\neval(ez_write_tag([[300,250],'obd_codes_com-leader-1','ezslot_1']));\n"""
"P0034
","b""\nA good starting point is always to check for technical service bulletins (TSB) for your particular vehicle. Your issue may be a known issue with a known fix put out by the manufacturer and can save you time and money during diagnosis.\nMost turbocharger boost controllers are programmed to effect between nine and fourteen-pounds of boost pressure. The boost pressure bypass control valve is opened and closed (via an electrical signal from the PCM) as much as is required to maintain an acceptable degree of turbocharger boost pressure.\nWhen attempting a diagnosis for this code, I begin with a thorough inspection of all wiring and vacuum hoses related to the turbocharger and boost control system. \nI would proceed by reading and recording all trouble codes, then clearing the codes from the system. This serves two purposes; if the code fails to reset, you know that it is intermittent and, if your vehicle places the boost pressure bypass valve in the wide-open position when this type of code is stored, it will allow the system to return to a normal operating mode prior to further testing. \n\n Be sure to disconnect system components and controllers prior to testing circuit continuity (with a DVOM) to prevent damage\n I have had several experiences in which the boost control valve was condemned in error, when the boost pressure sensor was actually the defective part\nI normally use a digital volt/ohmmeter (DVOM) to test system circuit voltage and continuity to ensure that it is within manufacturer\xe2\x80\x99s specifications. A system wiring diagram or manufacturer\xe2\x80\x99s service manual (with diagnostic flow charts) will be necessary\neval(ez_write_tag([[300,250],'obd_codes_com-leader-1','ezslot_1']));\n"""
"P0035
","b""\nA good starting point is always to check for technical service bulletins (TSB) for your particular vehicle. Your issue may be a known issue with a known fix put out by the manufacturer and can save you time and money during diagnosis.\nSomewhere between nine and fourteen-pounds of boost pressure is typically the figure that most turbocharger boost controllers are programmed to effect. In order to maintain an acceptable degree of turbocharger boost pressure, the boost pressure bypass control valve is opened and closed to a calculated degree (via an electrical signal from the PCM).\nI generally start with an inspection of all wiring and vacuum hoses related to the turbocharger and boost control system when attempting to diagnosis this code. \nYou may continue with reading and recording all stored trouble codes and snap-shot data, then clearing the codes from the system. If the code fails to reset, then you know that it is intermittent. Some vehicles place the boost pressure bypass valve in the wide-open position when this type of code is stored; clearing the stored codes will also allow the system to return to a normal operating mode before you begin physical testing. \n\n System controllers and components may be damaged if you fail to disconnect them from system circuitry prior to testing continuity with a digital volt/ohmmeter (DVOM)\n Frequently, the boost control valve is condemned in error when the boost pressure sensor is actually the defective part \n Exhaustive testing for individual system circuits and components will prevent misdiagnosis that may lead to unnecessary component replacement \n To ensure that that system circuit voltage and continuity are within manufacturer\xe2\x80\x99s specifications, I normally use a (DVOM) for testing. A system wiring diagram or manufacturer\xe2\x80\x99s service manual (with diagnostic flow charts) will be indispensable\neval(ez_write_tag([[300,250],'obd_codes_com-leader-1','ezslot_1']));\n"""
"P0036
","b'\nVisually inspect the oxygen sensor wiring for damaged or loose wiring to the sensor.\nUnplug the oxygen sensor and using a digital volt ohm meter (DVOM) set to the ohms scale, test the resistance of the heater circuit using a wiring diagram for reference. The heater circuit inside the sensor should have some resistance present, excessive resistance or an over limit reading would indicate an open in the heated portion of the circuit and the oxygen sensor will need to be replaced. \nBack-probe the ground wire at the connector and check for resistance between a good known ground and the connector to the oxygen sensor. \nBack-probe the power supply wire at the connector with the DVOM set to DC volts with the positive lead on the power supply wire and the negative lead at a good known ground to check for power to supply at the oxygen sensor. If no power is present at the connector during initial car startup (cold start), there may be a problem with the power supply circuit to the oxygen sensor or the PCM itself.\n'"
